entity_key,name,address,postcode,category,ownership,floor_area_sqm,current_use,land_only,active,ward,notes
LCDL_PROPERTY,White Cross Business Park - Alston House,"White Cross, South Road, Lancaster",LA1 4XQ,office_civic,Freehold,4500,Multi-tenant commercial offices - flagship building,N,Y,Lancaster Castle,"LCDL Property Ltd - White Cross campus 300K sqft total, 140+ tenants, 15 acres"
LCDL_PROPERTY,White Cross Business Park - Cameron House,"White Cross, South Road, Lancaster",LA1 4XQ,office_civic,Freehold,3200,Multi-tenant commercial offices,N,Y,Lancaster Castle,"Named office building within White Cross campus"
LCDL_PROPERTY,White Cross Business Park - Enterprise Centre,"White Cross, South Road, Lancaster",LA1 4XQ,office_civic,Freehold,3000,Enterprise/innovation centre for SMEs,N,Y,Lancaster Castle,"Incubation and small business space"
LCDL_PROPERTY,White Cross Business Park - Unit A,"White Cross, South Road, Lancaster",LA1 4XQ,office_civic,Freehold,2000,Commercial office unit,N,Y,Lancaster Castle,"Part of White Cross campus"
LCDL_PROPERTY,White Cross Business Park - Unit B,"White Cross, South Road, Lancaster",LA1 4XQ,office_civic,Freehold,2000,Commercial office unit,N,Y,Lancaster Castle,"Part of White Cross campus"
LCDL_PROPERTY,White Cross Business Park - Unit C,"White Cross, South Road, Lancaster",LA1 4XQ,office_civic,Freehold,1500,Commercial office unit,N,Y,Lancaster Castle,"Part of White Cross campus"
LCDL_PROPERTY,Lancashire Business Park - Croston House,"Centurion Way, Leyland",PR26 6TZ,office_civic,Freehold,3500,Multi-tenant commercial offices - LBP flagship,N,Y,South Ribble,"LCDL Property - Lancashire Business Park 142 acres, 700K+ sqft, 50+ tenants"
LCDL_PROPERTY,Lancashire Business Park - Chorley House,"Centurion Way, Leyland",PR26 6TZ,office_civic,Freehold,1292,Commercial office building,N,Y,South Ribble,"Part of Lancashire Business Park campus"
LCDL_PROPERTY,Lancashire Business Park - Jubilee House,"Centurion Way, Leyland",PR26 6TZ,office_civic,Freehold,2550,Commercial office building,N,Y,South Ribble,"Part of Lancashire Business Park campus"
LCDL_PROPERTY,Lancashire Business Park - Sumner Point,"Centurion Way, Leyland",PR26 6TZ,office_civic,Freehold,1800,Commercial office building,N,Y,South Ribble,"Part of Lancashire Business Park campus"
LCDL_PROPERTY,Lancashire Business Park - Building 3.1,"Centurion Way, Leyland",PR26 6TZ,office_civic,Freehold,1200,Commercial office unit,N,Y,South Ribble,"Part of Lancashire Business Park campus"
LCDL_PROPERTY,Lancashire Business Park - Building 3.2,"Centurion Way, Leyland",PR26 6TZ,office_civic,Freehold,1200,Commercial office unit,N,Y,South Ribble,"Part of Lancashire Business Park campus"
LCDL_PROPERTY,Fraser House Hub,"Cuerden Way, Bamber Bridge, Preston",PR5 6BJ,office_civic,Freehold,2500,Co-working and conference centre,N,Y,South Ribble,"LCDL Property managed hub facility"
LCDL,County Hall Campus - LCDL Managed,"Pitt Street, Preston",PR1 8XJ,office_civic,Leasehold,4000,Commercial lettings within County Hall campus,N,Y,Preston City Centre,"LCDL manages commercial space within LCC County Hall"
RENEWABLES,Thornton Waste Treatment Facility,"Fleetwood Road North, Thornton-Cleveleys",FY5 4LB,operations_depot_waste,Freehold,8000,Mechanical biological treatment plant - 75000 tonnes/year,N,Y,Thornton and Hambleton,"Lancashire Renewables Ltd (05881147) wholly-owned waste facility"
RENEWABLES,Farington Waste Recovery Park,"Stanifield Lane, Farington, Leyland",PR26 6TB,operations_depot_waste,Freehold,51431,Waste technology park - composting and materials recovery - 51431 sqm site,N,Y,South Ribble,"Lancashire Renewables main processing facility - largest single site"
ACTIVE_LANCS,Active Lancashire HQ - Offices 3-4 Farington House,"Farington House, Stanifield Lane, Lancashire Business Park, Leyland",PR26 6TW,office_civic,Leasehold,500,Charity headquarters - sport and physical activity promotion,N,Y,South Ribble,"Active Lancashire (06859894) registered office within Lancashire Business Park"
YOUTH_ZONE,Preston Youth Zone Building,"Lune Street, Preston",PR1 2NL,other_building,Freehold,3000,Youth activity centre - opened 2018,N,Y,Preston City Centre,"Original co 08630949 dissolved 2021. Successor 14606941 (Bolton). Building remains LCC asset"
LPP,Local Pensions Partnership Offices,"1st Floor, 169 Union Street, London",SE1 0LL,office_civic,Leasehold,800,Pension fund administration offices,N,Y,,"LPP (09830002) 50% JV with LPFA - London office only. Pension fund property is pooled, not direct"
